date,n1,n2,n3,n4,n5,n6
2021-08-21,60,29,6,30,25,22
2021-08-18,8,38,13,33,11,48
2021-08-14,9,26,36,25,21,53
2021-08-12,52,42,35,27,51,44
2021-08-10,36,59,17,30,8,54
2021-08-07,6,14,48,46,20,39
2021-08-04,3,25,2,49,42,39
2021-07-31,44,11,4,45,57,12
2021-07-28,42,44,5,25,36,16
2021-07-24,32,28,38,51,27,26
2021-07-21,53,34,25,15,23,11
2021-07-17,5,8,13,27,50,36
2021-07-14,20,13,9,56,32,22
2021-07-10,39,30,16,51,37,40
2021-07-07,8,37,45,48,33,30
2021-07-03,38,26,30,8,31,48
2021-07-01,35,13,11,50,49,16
2021-06-29,32,12,43,37,24,60
2021-06-26,25,26,9,13,22,31
2021-06-23,41,16,40,20,15,13
2021-06-19,53,6,19,9,38,55
2021-06-16,47,41,32,7,23,42
2021-06-12,53,39,11,16,20,24
2021-06-09,26,32,56,2,8,46
2021-06-05,37,49,41,54,11,38
2021-06-02,35,5,44,18,43,29
2021-05-29,22,12,17,18,19,14
2021-05-26,58,6,46,53,44,2
2021-05-22,25,37,39,13,41,12
2021-05-19,44,26,23,49,60,24
2021-05-15,19,25,44,46,3,57
2021-05-12,30,48,36,4,39,15
2021-05-08,56,31,37,7,44,42
2021-05-06,60,9,19,4,17,37
2021-05-04,13,7,36,25,58,4
2021-04-30,29,5,23,34,53,60
2021-04-28,33,41,38,27,4,35
2021-04-24,44,50,17,28,37,1
2021-04-22,42,56,33,20,51,44
2021-04-17,34,6,58,39,14,24
2021-04-14,35,22,32,20,50,3
2021-04-10,46,21,35,29,14,22
2021-04-08,15,21,24,45,29,10
2021-04-06,39,42,43,51,31,32
2021-04-03,5,43,16,11,9,57
2021-03-31,28,34,51,19,40,30
2021-03-27,51,36,3,58,10,25
2021-03-24,31,7,30,41,56,50
2021-03-20,18,54,25,6,30,42
2021-03-17,19,3,34,53,48,41
2021-03-13,17,55,9,41,38,49
2021-03-10,35,49,19,22,47,41
2021-03-06,45,28,34,29,25,41
2021-03-03,54,25,5,10,49,32
2021-02-27,2,3,51,48,54,7
2021-02-24,17,58,9,60,30,8
2021-02-20,4,58,3,40,11,42
2021-02-17,16,22,7,55,19,28
2021-02-13,38,11,52,57,17,25
2021-02-10,56,49,31,4,45,42
2021-02-06,20,24,17,27,40,60
2021-02-03,9,46,4,32,31,42
2021-01-30,49,41,16,51,28,21
2021-01-28,4,48,59,29,47,18
2021-01-26,21,8,34,47,42,23
2021-01-23,2,51,49,9,34,55
2021-01-20,20,27,50,8,10,28
2021-01-16,18,42,49,47,9,23
2021-01-13,22,4,20,25,13,60
2021-01-09,41,53,55,9,16,31
2021-01-06,12,33,44,52,35,36
2021-01-02,53,16,11,57,13,36
2020-12-31,22,35,17,41,20,42
2020-12-19,42,28,45,14,12,55
2020-12-16,11,8,39,14,48,53
2020-12-12,54,45,30,57,37,58
2020-12-10,27,36,34,16,57,10
2020-12-08,33,37,60,34,46,52
2020-12-05,31,2,43,19,60,16
2020-12-02,35,27,39,20,50,59
2020-11-28,5,10,2,29,34,41
2020-11-25,41,43,25,28,14,46
2020-11-21,30,6,35,48,39,42
2020-11-18,17,25,6,35,49,40
2020-11-14,54,58,52,28,44,60
2020-11-11,35,48,30,33,3,8
2020-11-07,49,11,56,43,52,2
2020-11-04,10,17,1,26,30,53
2020-10-31,28,6,7,42,45,49
